Date;Open;Prev_Close;Chg %;
2017-12-11;25434.75;25321.15;0.45;
2017-12-18;25181.75;25440.3;1.03;
2017-12-26;25659.75;25648.55;0.04;
2018-01-01;25565.75;25539.45;0.1;
2018-01-08;25690.25;25601.85;0.34;
2018-01-15;25858.15;25749.05;0.42;
2018-01-22;26940.5;26909.5;0.12;
2018-01-29;27446.1;27445.65;0;
2018-02-05;25968.15;26451.15;1.86;
2018-02-12;25530.1;25463.65;0.26;
2018-02-14;25810.25;25701.6;0.42;
2018-02-19;25324.6;25163.9;0.63;
2018-02-26;25452.0;25302.5;0.59;
2018-03-05;24831.35;24902.55;0.29;
2018-03-12;24443.6;24296.45;0.6;
2018-03-19;24530.15;24489.55;0.17;
2018-03-26;23674.9;23670.4;0.02;
2018-04-02;24235.65;24263.35;0.11;
2018-04-09;24848.85;24873.15;0.1;
2018-04-16;25082.1;25200.6;0.47;
2018-04-23;25065.5;24943.85;0.49;
2018-04-30;25490.15;25394.6;0.37;
2018-05-02;25607.05;25531.6;0.29;
2018-05-07;25676.25;25645.4;0.12;
2018-05-14;26404.45;26413.15;0.03;
2018-05-21;26017.5;25875.6;0.55;
2018-05-28;26291.65;26273.55;0.07;
2018-06-04;27023.7;26692.8;1.22;
2018-06-11;26473.2;26451.35;0.08;
2018-06-18;26444.3;26417.4;0.1;
2018-06-25;26718.15;26766.85;0.18;
2018-07-02;26364.45;26364.2;0;
2018-07-09;26642.35;26493.85;0.56;
2018-07-16;26914.5;26935.95;0.08;
2018-07-23;26701.3;26873.2;0.64;
2018-07-30;27767.65;27634.4;0.48;
2018-08-06;27769.55;27695.5;0.27;
2018-08-13;27760.8;28124.25;1.31;
2018-08-20;28171.65;28128.55;0.15;
2018-08-27;27971.25;27834.7;0.49;
2018-09-03;28199.45;28061.75;0.49;
2018-09-10;27395.2;27481.45;0.31;
2018-09-14;27059.85;26819.2;0.89;
2018-09-17;27002.6;27163.85;0.6;
2018-09-21;26331.05;26277.35;0.2;
2018-09-24;25645.05;25596.9;0.19;
2018-10-01;24943.9;25119.85;0.71;
2018-10-03;25290.55;25367.0;0.3;
2018-10-08;24470.75;24443.45;0.11;
2018-10-15;25444.0;25395.85;0.19;
2018-10-19;24966.5;25188.6;0.89;
2018-10-22;25484.25;25085.8;1.56;
2018-10-29;24647.95;24421.05;0.92;
2018-11-05;25731.55;25701.65;0.12;
2018-11-09;25742.55;25737.5;0.02;
2018-11-12;25816.15;25771.0;0.17;
2018-11-19;26364.6;26245.55;0.45;
2018-11-26;26096.0;25999.45;0.37;
2018-12-03;27032.9;26862.95;0.63;
2018-12-10;26073.65;26594.3;2;
2018-12-17;26915.45;26826.0;0.33;
2018-12-24;26877.05;26869.65;0.03;
2018-12-26;26634.0;26714.75;0.3;
2018-12-31;27267.8;27125.25;0.52;
2019-01-07;27378.65;27195.0;0.67;
2019-01-14;27389.2;27453.9;0.24;
2019-01-21;27514.55;27456.7;0.21;
2019-01-28;27041.45;27115.3;0.27;
2019-02-04;26974.0;27085.95;0.42;
2019-02-11;27240.5;27294.4;0.2;
2019-02-18;26754.6;26794.25;0.15;
